Rk,Team,Date,FGA,TRB,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,ORB,DRB,TRB,ORB,DRB,TRB
9,GSW,2023-11-08,86,49,21,@,DEN,L 105-108,240,21,5,0,9,20,24,7,4,6,20,240,37,86,0.43,26,51,0.51,11,35,0.314,20,26,0.769,105,41,92,0.446,30,57,0.526,11,35,0.314,15,22,0.682,108,240,11,38,49,10,35,45
8,IND,2023-11-08,101,46,26,,UTA,W 134-118,240,26,14,7,11,15,26,3,5,21,17,240,52,101,0.515,39,60,0.65,13,41,0.317,17,20,0.85,134,45,96,0.469,34,69,0.493,11,27,0.407,17,18,0.944,118,240,14,32,46,16,31,47
7,LAC,2023-11-08,91,51,22,@,BRK,L 93-100,240,22,10,8,15,15,22,10,10,14,14,240,36,91,0.396,28,55,0.509,8,36,0.222,13,13,1,93,37,92,0.402,22,51,0.431,15,41,0.366,11,13,0.846,100,240,11,40,51,14,35,49
8,LAL,2023-11-08,85,34,20,@,HOU,L 94-128,240,20,7,6,9,18,26,4,4,11,23,240,36,85,0.424,29,60,0.483,7,25,0.28,15,24,0.625,94,51,93,0.548,37,60,0.617,14,33,0.424,12,19,0.632,128,240,5,29,34,14,43,57
8,MEM,2023-11-08,90,38,20,,MIA,L 102-108,240,20,10,4,13,27,22,9,8,19,24,240,35,90,0.389,24,53,0.453,11,37,0.297,21,28,0.75,102,35,77,0.455,24,49,0.49,11,28,0.393,27,32,0.844,108,240,13,25,38,9,35,44
8,MIA,2023-11-08,77,44,22,@,MEM,W 108-102,240,22,9,8,19,24,20,10,4,13,27,240,35,77,0.455,24,49,0.49,11,28,0.393,27,32,0.844,108,35,90,0.389,24,53,0.453,11,37,0.297,21,28,0.75,102,240,9,35,44,13,25,38
7,MIL,2023-11-08,90,36,19,,DET,W 120-118,240,19,8,7,10,18,28,2,5,17,24,240,41,90,0.456,30,53,0.566,11,37,0.297,27,32,0.844,120,48,98,0.49,41,69,0.594,7,29,0.241,15,16,0.938,118,240,5,31,36,11,42,53
7,MIN,2023-11-08,82,48,30,,NOP,W 122-101,240,30,9,7,16,23,23,6,1,17,23,240,45,82,0.549,30,45,0.667,15,37,0.405,17,24,0.708,122,36,93,0.387,28,65,0.431,8,28,0.286,21,22,0.955,101,240,8,40,48,11,29,40
8,NOP,2023-11-08,93,40,23,@,MIN,L 101-122,240,23,6,1,17,23,30,9,7,16,23,240,36,93,0.387,28,65,0.431,8,28,0.286,21,22,0.955,101,45,82,0.549,30,45,0.667,15,37,0.405,17,24,0.708,122,240,11,29,40,8,40,48
8,NYK,2023-11-08,100,47,28,,SAS,W 126-105,240,28,7,0,3,14,31,2,7,13,22,240,46,100,0.46,27,58,0.466,19,42,0.452,15,22,0.682,126,44,90,0.489,35,56,0.625,9,34,0.265,8,13,0.615,105,240,13,34,47,11,35,46
8,OKC,2023-11-08,86,41,23,,CLE,W 128-120,240,23,10,8,14,27,26,9,5,18,24,240,44,86,0.512,32,58,0.552,12,28,0.429,28,30,0.933,128,42,83,0.506,33,54,0.611,9,29,0.31,27,37,0.73,120,240,12,29,41,11,30,41
