Rk,Team,Date,FG,TRB,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,ORB,DRB,TRB,ORB,DRB,TRB
39,PHI,2006-01-20,32,47,14,,MEM,W 89-86 (OT),265,14,8,8,15,20,22,11,7,14,28,265,32,77,0.416,28,65,0.431,4,12,0.333,21,28,0.75,89,34,86,0.395,29,64,0.453,5,22,0.227,13,22,0.591,86,265,7,40,47,8,35,43
40,PHI,2006-01-22,32,46,10,@,MIN,W 86-84,240,10,5,6,13,13,22,8,6,12,19,240,32,80,0.4,25,70,0.357,7,10,0.7,15,21,0.714,86,36,78,0.462,34,69,0.493,2,9,0.222,10,17,0.588,84,240,13,33,46,7,33,40
41,PHI,2006-01-24,42,48,17,,SAC,W 109-103,240,17,6,5,12,16,24,7,3,14,23,240,42,86,0.488,35,71,0.493,7,15,0.467,18,27,0.667,109,39,82,0.476,30,59,0.508,9,23,0.391,16,17,0.941,103,240,13,35,48,6,28,34
42,PHI,2006-01-26,44,38,21,,ORL,L 115-119 (OT),265,21,6,4,13,30,27,6,3,16,27,265,44,90,0.489,39,76,0.513,5,14,0.357,22,27,0.815,115,43,73,0.589,36,60,0.6,7,13,0.538,26,41,0.634,119,265,13,25,38,9,28,37
43,PHI,2006-01-28,32,51,22,,NYK,W 91-76,240,22,6,10,11,19,13,4,4,18,22,240,32,81,0.395,26,65,0.4,6,16,0.375,21,25,0.84,91,24,68,0.353,17,55,0.309,7,13,0.538,21,27,0.778,76,240,16,35,51,8,29,37
44,PHI,2006-01-29,31,37,21,@,ORL,W 89-81,240,21,11,6,10,18,20,3,4,17,24,240,31,68,0.456,30,59,0.508,1,9,0.111,26,38,0.684,89,31,72,0.431,28,59,0.475,3,13,0.231,16,21,0.762,81,240,11,26,37,14,26,40
45,PHI,2006-01-31,38,41,19,,PHO,L 99-123,240,19,5,1,11,16,32,4,5,8,22,240,38,86,0.442,36,76,0.474,2,10,0.2,21,31,0.677,99,50,86,0.581,39,63,0.619,11,23,0.478,12,14,0.857,123,240,16,25,41,8,29,37
46,PHI,2006-02-03,36,41,22,,DET,L 80-87,240,22,3,1,14,15,28,5,2,7,12,240,36,70,0.514,35,66,0.53,1,4,0.25,7,12,0.583,80,37,85,0.435,34,68,0.5,3,17,0.176,10,15,0.667,87,240,9,32,41,14,22,36
47,PHI,2006-02-04,36,34,19,@,CLE,W 100-95,240,19,11,6,13,20,19,7,8,19,26,240,36,74,0.486,33,63,0.524,3,11,0.273,25,31,0.806,100,34,78,0.436,28,55,0.509,6,23,0.261,21,24,0.875,95,240,8,26,34,14,26,40
48,PHI,2006-02-06,24,55,11,,HOU,L 81-87,240,11,6,5,24,18,27,16,2,13,25,240,24,72,0.333,23,60,0.383,1,12,0.083,32,37,0.865,81,32,76,0.421,26,60,0.433,6,16,0.375,17,23,0.739,87,240,14,41,55,4,31,35
49,PHI,2006-02-08,38,41,25,@,CHA,L 92-100,240,25,8,6,18,19,23,10,2,14,15,240,38,82,0.463,30,62,0.484,8,20,0.4,8,14,0.571,92,42,96,0.438,36,80,0.45,6,16,0.375,10,14,0.714,100,240,9,32,41,18,36,54
50,PHI,2006-02-12,38,41,23,@,WAS,L 97-107,240,23,8,5,18,33,22,10,6,15,24,240,38,84,0.452,35,75,0.467,3,9,0.333,18,25,0.72,97,33,82,0.402,28,65,0.431,5,17,0.294,36,43,0.837,107,240,12,29,41,14,30,44
51,PHI,2006-02-15,41,41,20,,SAS,W 103-100 (OT),265,20,16,8,15,24,22,10,5,22,26,265,41,90,0.456,38,85,0.447,3,5,0.6,18,23,0.783,103,37,84,0.44,32,68,0.471,5,16,0.313,21,28,0.75,100,265,8,33,41,15,39,54
52,PHI,2006-02-16,26,30,13,@,CHI,L 84-117,240,13,6,7,12,18,28,9,8,15,26,240,26,76,0.342,26,67,0.388,0,9,0,32,37,0.865,84,46,88,0.523,39,73,0.534,7,15,0.467,18,21,0.857,117,240,5,25,30,14,39,53
53,PHI,2006-02-22,44,39,27,,CLE,W 116-107,240,27,8,3,10,24,21,3,3,13,27,240,44,83,0.53,42,72,0.583,2,11,0.182,26,30,0.867,116,40,86,0.465,35,69,0.507,5,17,0.294,22,32,0.688,107,240,5,34,39,14,29,43
54,PHI,2006-02-24,41,28,24,@,MIL,W 116-111,240,24,12,2,14,21,25,10,1,20,25,240,41,73,0.562,35,62,0.565,6,11,0.545,28,37,0.757,116,40,80,0.5,34,65,0.523,6,15,0.4,25,28,0.893,111,240,7,21,28,16,26,42
55,PHI,2006-02-25,30,36,13,,CHI,W 108-102,240,13,11,5,12,21,20,3,3,22,40,240,30,70,0.429,25,59,0.424,5,11,0.455,43,57,0.754,108,38,80,0.475,30,60,0.5,8,20,0.4,18,20,0.9,102,240,10,26,36,14,34,48
56,PHI,2006-02-27,33,28,19,@,DAL,L 92-104,240,19,7,4,13,22,23,8,1,12,23,240,33,66,0.5,30,55,0.545,3,11,0.273,23,30,0.767,92,36,79,0.456,27,62,0.435,9,17,0.529,23,27,0.852,104,240,4,24,28,14,31,45
57,PHI,2006-03-01,41,39,20,@,HOU,W 106-101,240,20,8,1,9,17,23,5,3,13,20,240,41,79,0.519,36,70,0.514,5,9,0.556,19,26,0.731,106,37,86,0.43,31,61,0.508,6,25,0.24,21,23,0.913,101,240,6,33,39,13,35,48
58,PHI,2006-03-03,45,34,24,,WAS,W 119-113,240,24,4,6,15,24,17,11,1,13,22,240,45,80,0.563,39,62,0.629,6,18,0.333,23,27,0.852,119,40,93,0.43,33,77,0.429,7,16,0.438,26,34,0.765,113,240,8,26,34,19,29,48
59,PHI,2006-03-05,34,35,19,,IND,L 93-94,240,19,11,2,12,14,24,9,4,17,22,240,34,74,0.459,29,63,0.46,5,11,0.455,20,30,0.667,93,38,80,0.475,32,60,0.533,6,20,0.3,12,16,0.75,94,240,8,27,35,7,32,39
60,PHI,2006-03-08,33,50,20,@,BOS,L 101-104,240,20,9,8,15,19,27,10,6,15,27,240,33,88,0.375,29,71,0.408,4,17,0.235,31,37,0.838,101,36,83,0.434,29,64,0.453,7,19,0.368,25,28,0.893,104,240,14,36,50,10,35,45
61,PHI,2006-03-09,35,54,18,,DEN,L 93-97,240,18,11,6,16,21,26,11,8,15,25,240,35,91,0.385,31,69,0.449,4,22,0.182,19,31,0.613,93,36,79,0.456,32,67,0.478,4,12,0.333,21,29,0.724,97,240,22,32,54,8,34,42
62,PHI,2006-03-12,34,32,22,@,MEM,W 94-91,240,22,12,5,16,17,16,9,9,21,24,240,34,72,0.472,31,61,0.508,3,11,0.273,23,31,0.742,94,36,78,0.462,31,65,0.477,5,13,0.385,14,18,0.778,91,240,8,24,32,14,31,45
63,PHI,2006-03-14,33,34,20,,TOR,L 97-111,240,20,6,2,20,22,29,13,5,15,25,240,33,68,0.485,30,55,0.545,3,13,0.231,28,38,0.737,97,38,73,0.521,28,48,0.583,10,25,0.4,25,26,0.962,111,240,8,26,34,7,30,37
64,PHI,2006-03-16,38,39,23,@,SEA,L 98-102,240,23,7,7,15,16,28,10,4,14,25,240,38,77,0.494,31,63,0.492,7,14,0.5,15,22,0.682,98,40,82,0.488,29,59,0.492,11,23,0.478,11,15,0.733,102,240,9,30,39,5,26,31
65,PHI,2006-03-17,36,44,30,@,LAC,L 89-99,240,30,3,5,11,11,23,6,13,7,13,240,36,83,0.434,30,69,0.435,6,14,0.429,11,20,0.55,89,39,80,0.488,33,64,0.516,6,16,0.375,15,20,0.75,99,240,12,32,44,7,37,44
66,PHI,2006-03-19,34,42,26,@,GSW,L 89-98,240,26,7,5,13,21,24,5,5,12,22,240,34,82,0.415,29,64,0.453,5,18,0.278,16,23,0.696,89,37,85,0.435,31,63,0.492,6,22,0.273,18,28,0.643,98,240,10,32,42,14,39,53
67,PHI,2006-03-22,41,39,25,,ATL,W 115-106,240,25,12,5,13,25,28,10,4,19,24,240,41,81,0.506,31,66,0.47,10,15,0.667,23,30,0.767,115,38,75,0.507,32,61,0.525,6,14,0.429,24,31,0.774,106,240,13,26,39,10,24,34
68,PHI,2006-03-24,31,33,22,,ORL,L 86-102,240,22,12,7,13,19,24,11,8,20,19,240,31,81,0.383,23,64,0.359,8,17,0.471,16,23,0.696,86,40,71,0.563,38,66,0.576,2,5,0.4,20,26,0.769,102,240,15,18,33,11,36,47
69,PHI,2006-03-26,32,36,17,@,IND,L 79-92,240,17,16,4,16,16,28,13,4,26,22,240,32,86,0.372,28,74,0.378,4,12,0.333,11,12,0.917,79,34,67,0.507,25,46,0.543,9,21,0.429,15,20,0.75,92,240,16,20,36,13,35,48
70,PHI,2006-03-29,35,38,18,,DET,L 91-101,240,18,4,4,19,18,26,12,2,11,15,240,35,69,0.507,31,59,0.525,4,10,0.4,17,18,0.944,91,39,87,0.448,33,65,0.508,6,22,0.273,17,22,0.773,101,240,8,30,38,18,21,39
71,PHI,2006-03-31,40,33,21,@,NYK,W 117-112,240,21,10,2,11,33,16,5,1,15,27,240,40,72,0.556,37,60,0.617,3,12,0.25,34,41,0.829,117,36,68,0.529,34,53,0.642,2,15,0.133,38,50,0.76,112,240,7,26,33,12,24,36
72,PHI,2006-04-02,39,33,30,,NYK,W 114-95,240,30,14,4,16,20,19,11,2,25,24,240,39,71,0.549,36,59,0.61,3,12,0.25,33,37,0.892,114,33,64,0.516,29,56,0.518,4,8,0.5,25,32,0.781,95,240,8,25,33,9,23,32
73,PHI,2006-04-04,30,27,20,@,CLE,L 91-124,240,20,7,5,12,22,30,9,5,17,24,240,30,75,0.4,24,59,0.407,6,16,0.375,25,31,0.806,91,47,83,0.566,36,61,0.59,11,22,0.5,19,25,0.76,124,240,8,19,27,14,36,50
74,PHI,2006-04-05,33,40,21,,CHI,L 92-99,240,21,10,3,14,25,18,6,1,14,23,240,33,72,0.458,31,60,0.517,2,12,0.167,24,30,0.8,92,38,83,0.458,34,67,0.507,4,16,0.25,19,23,0.826,99,240,6,34,40,13,34,47
75,PHI,2006-04-07,38,35,23,,BOS,L 99-109,240,23,8,2,9,26,21,4,7,17,23,240,38,83,0.458,32,67,0.478,6,16,0.375,17,26,0.654,99,39,74,0.527,30,53,0.566,9,21,0.429,22,32,0.688,109,240,9,26,35,9,33,42
76,PHI,2006-04-08,30,51,12,@,CHI,W 89-75,240,12,3,4,16,16,16,10,0,9,24,240,30,77,0.39,24,60,0.4,6,17,0.353,23,27,0.852,89,28,86,0.326,21,58,0.362,7,28,0.25,12,17,0.706,75,240,14,37,51,9,28,37
77,PHI,2006-04-10,39,48,26,,WAS,W 105-97,240,26,6,5,16,24,17,9,2,13,21,240,39,82,0.476,28,55,0.509,11,27,0.407,16,21,0.762,105,30,76,0.395,24,57,0.421,6,19,0.316,31,39,0.795,97,240,12,36,48,8,31,39
78,PHI,2006-04-12,44,45,21,@,NJN,W 116-96,240,21,7,4,5,19,20,3,3,10,19,240,44,88,0.5,39,76,0.513,5,12,0.417,23,27,0.852,116,32,73,0.438,28,52,0.538,4,21,0.19,28,34,0.824,96,240,10,35,45,5,32,37
79,PHI,2006-04-14,32,36,12,@,MIA,L 85-104,240,12,9,3,19,22,19,12,4,16,23,240,32,78,0.41,29,62,0.468,3,16,0.188,18,29,0.621,85,40,76,0.526,38,64,0.594,2,12,0.167,22,29,0.759,104,240,11,25,36,12,30,42
80,PHI,2006-04-15,39,33,19,@,ORL,L 97-102,240,19,7,3,10,23,16,9,3,10,17,240,39,83,0.47,36,68,0.529,3,15,0.2,16,20,0.8,97,38,81,0.469,33,71,0.465,5,10,0.5,21,34,0.618,102,240,8,25,33,17,29,46
81,PHI,2006-04-18,34,41,21,,NJN,W 91-88,240,21,6,1,14,18,25,8,5,11,21,240,34,73,0.466,27,49,0.551,7,24,0.292,16,23,0.696,91,29,69,0.42,19,33,0.576,10,36,0.278,20,24,0.833,88,240,13,28,41,9,25,34
82,PHI,2006-04-19,32,32,18,@,CHA,L 86-96,240,18,7,2,24,22,21,14,5,15,19,240,32,61,0.525,26,47,0.553,6,14,0.429,16,22,0.727,86,37,83,0.446,31,67,0.463,6,16,0.375,16,19,0.842,96,240,3,29,32,14,25,39
1,ORL,2005-11-02,31,38,22,,IND,L 78-90,240,22,8,4,16,22,19,12,5,13,20,240,31,71,0.437,28,60,0.467,3,11,0.273,13,19,0.684,78,33,70,0.471,26,51,0.51,7,19,0.368,17,22,0.773,90,240,12,26,38,6,26,32
2,ORL,2005-11-04,33,36,15,,MEM,L 85-94,240,15,6,2,12,24,17,4,2,13,20,240,33,71,0.465,32,61,0.525,1,10,0.1,18,25,0.72,85,32,68,0.471,22,46,0.478,10,22,0.455,20,26,0.769,94,240,11,25,36,5,28,33
3,ORL,2005-11-05,26,52,12,@,WAS,L 79-87,240,12,7,3,10,25,12,5,12,12,22,240,26,83,0.313,23,72,0.319,3,11,0.273,24,35,0.686,79,29,71,0.408,24,51,0.471,5,20,0.25,24,37,0.649,87,240,21,31,52,14,32,46
4,ORL,2005-11-08,28,41,11,@,HOU,W 76-74,240,11,4,7,15,19,17,9,9,12,21,240,28,74,0.378,23,61,0.377,5,13,0.385,15,22,0.682,76,26,70,0.371,22,54,0.407,4,16,0.25,18,19,0.947,74,240,10,31,41,7,29,36
5,ORL,2005-11-09,28,43,15,@,NOK,W 88-83,240,15,2,3,20,24,15,11,3,13,25,240,28,63,0.444,24,57,0.421,4,6,0.667,28,33,0.848,88,34,77,0.442,34,69,0.493,0,8,0,15,18,0.833,83,240,10,33,43,8,25,33
6,ORL,2005-11-13,34,39,18,,CLE,L 100-108 (OT),265,18,8,4,20,22,18,14,3,12,24,265,34,75,0.453,28,63,0.444,6,12,0.5,26,28,0.929,100,42,82,0.512,36,66,0.545,6,16,0.375,18,26,0.692,108,265,9,30,39,9,26,35
7,ORL,2005-11-15,30,50,11,,CHA,W 85-77,240,11,6,6,12,16,20,7,2,10,28,240,30,72,0.417,28,67,0.418,2,5,0.4,23,35,0.657,85,30,79,0.38,27,69,0.391,3,10,0.3,14,17,0.824,77,240,16,34,50,10,27,37
8,ORL,2005-11-18,30,40,18,@,CLE,L 84-102,240,18,5,9,16,22,20,10,2,12,19,240,30,69,0.435,26,61,0.426,4,8,0.5,20,27,0.741,84,38,90,0.422,29,68,0.426,9,22,0.409,17,29,0.586,102,240,11,29,40,25,29,54
9,ORL,2005-11-19,37,31,20,,NOK,L 95-98,240,20,4,3,15,27,17,5,3,13,23,240,37,73,0.507,31,57,0.544,6,16,0.375,15,22,0.682,95,35,64,0.547,32,58,0.552,3,6,0.5,25,38,0.658,98,240,7,24,31,10,24,34
10,ORL,2005-11-23,36,43,20,,WAS,W 91-83,240,20,6,1,18,18,18,10,5,12,17,240,36,76,0.474,30,66,0.455,6,10,0.6,13,17,0.765,91,31,79,0.392,26,59,0.441,5,20,0.25,16,20,0.8,83,240,11,32,43,14,26,40
11,ORL,2005-11-25,46,49,22,,POR,W 104-89,240,22,6,3,11,22,20,4,7,12,18,240,46,87,0.529,42,76,0.553,4,11,0.364,8,11,0.727,104,34,76,0.447,32,65,0.492,2,11,0.182,19,25,0.76,89,240,19,30,49,10,19,29
12,ORL,2005-11-26,27,47,11,,MIA,W 80-77,240,11,5,6,11,20,13,6,8,15,28,240,27,77,0.351,26,70,0.371,1,7,0.143,25,32,0.781,80,26,81,0.321,20,60,0.333,6,21,0.286,19,29,0.655,77,240,16,31,47,19,32,51
13,ORL,2005-11-28,31,42,17,@,BOS,W 87-83,240,17,8,6,15,20,19,5,4,18,23,240,31,69,0.449,28,60,0.467,3,9,0.333,22,33,0.667,87,33,77,0.429,31,65,0.477,2,12,0.167,15,19,0.789,83,240,11,31,42,11,32,43
14,ORL,2005-11-29,26,40,20,@,CHI,L 76-85,240,20,3,4,18,18,28,13,1,10,23,240,26,63,0.413,19,46,0.413,7,17,0.412,17,26,0.654,76,34,79,0.43,28,56,0.5,6,23,0.261,11,21,0.524,85,240,4,36,40,10,27,37
15,ORL,2005-12-02,28,37,13,@,MEM,L 69-91,240,13,7,5,13,27,21,6,7,13,22,240,28,74,0.378,26,67,0.388,2,7,0.286,11,18,0.611,69,31,59,0.525,25,45,0.556,6,14,0.429,23,34,0.676,91,240,11,26,37,5,34,39
16,ORL,2005-12-03,30,37,20,@,MIL,L 84-104,240,20,9,2,19,19,31,9,2,11,16,240,30,69,0.435,21,58,0.362,9,11,0.818,15,20,0.75,84,43,76,0.566,33,58,0.569,10,18,0.556,8,16,0.5,104,240,9,28,37,5,27,32
17,ORL,2005-12-05,30,38,11,,SAS,L 85-110,240,11,8,2,13,22,25,4,10,13,19,240,30,84,0.357,25,73,0.342,5,11,0.455,20,22,0.909,85,39,71,0.549,32,53,0.604,7,18,0.389,25,36,0.694,110,240,11,27,38,7,38,45
18,ORL,2005-12-07,34,44,18,,CHI,L 93-102,240,18,10,5,23,26,24,12,1,15,22,240,34,74,0.459,30,59,0.508,4,15,0.267,21,29,0.724,93,37,78,0.474,27,58,0.466,10,20,0.5,18,24,0.75,102,240,11,33,44,4,28,32
19,ORL,2005-12-10,35,49,22,,DEN,W 94-83,240,22,6,6,21,29,16,11,2,18,33,240,35,79,0.443,30,64,0.469,5,15,0.333,19,30,0.633,94,28,69,0.406,26,60,0.433,2,9,0.222,25,38,0.658,83,240,18,31,49,7,27,34
20,ORL,2005-12-14,37,38,23,@,NYK,W 105-90,240,23,9,2,16,27,20,7,4,17,29,240,37,76,0.487,26,58,0.448,11,18,0.611,20,31,0.645,105,34,74,0.459,33,67,0.493,1,7,0.143,21,28,0.75,90,240,11,27,38,13,28,41
21,ORL,2005-12-16,40,34,18,@,DAL,L 103-109 (OT),265,18,8,8,10,27,20,7,5,12,21,265,40,81,0.494,36,73,0.493,4,8,0.5,19,27,0.704,103,42,84,0.5,36,71,0.507,6,13,0.462,19,26,0.731,109,265,6,28,34,8,34,42
22,ORL,2005-12-19,35,39,15,,TOR,L 90-92,240,15,8,6,15,20,21,8,3,12,26,240,35,71,0.493,34,64,0.531,1,7,0.143,19,26,0.731,90,34,80,0.425,25,64,0.391,9,16,0.563,15,26,0.577,92,240,5,34,39,6,26,32
23,ORL,2005-12-21,32,39,10,,NJN,L 85-96,240,10,6,3,17,19,20,8,5,11,27,240,32,68,0.471,30,55,0.545,2,13,0.154,19,29,0.655,85,34,76,0.447,29,59,0.492,5,17,0.294,23,27,0.852,96,240,9,30,39,10,28,38
24,ORL,2005-12-23,32,46,16,,LAL,L 88-104,240,16,4,2,12,29,24,7,7,10,25,240,32,81,0.395,31,68,0.456,1,13,0.077,23,34,0.676,88,36,73,0.493,29,53,0.547,7,20,0.35,25,36,0.694,104,240,16,30,46,8,29,37
25,ORL,2005-12-26,43,40,21,,MIL,W 108-93,240,21,8,2,10,21,14,4,1,15,21,240,43,80,0.538,40,74,0.541,3,6,0.5,19,27,0.704,108,34,78,0.436,30,61,0.492,4,17,0.235,21,30,0.7,93,240,11,29,40,17,24,41
26,ORL,2005-12-28,38,38,20,,NYK,W 105-95,240,20,14,7,11,24,14,0,3,18,27,240,38,72,0.528,37,67,0.552,1,5,0.2,28,42,0.667,105,31,87,0.356,26,76,0.342,5,11,0.455,28,35,0.8,95,240,11,27,38,27,24,51
27,ORL,2005-12-30,41,42,19,,MIN,W 107-87,240,19,11,3,14,27,18,8,8,19,22,240,41,82,0.5,38,72,0.528,3,10,0.3,22,26,0.846,107,32,70,0.457,27,49,0.551,5,21,0.238,18,26,0.692,87,240,12,30,42,6,19,25
28,ORL,2006-01-03,39,35,15,@,DET,L 99-108,240,15,5,5,12,23,21,7,6,10,22,240,39,74,0.527,37,69,0.536,2,5,0.4,19,25,0.76,99,39,74,0.527,31,55,0.564,8,19,0.421,22,29,0.759,108,240,8,27,35,10,22,32
29,ORL,2006-01-04,34,21,17,@,TOR,L 97-121,240,17,8,0,16,24,23,6,4,12,24,240,34,67,0.507,29,54,0.537,5,13,0.385,24,25,0.96,97,46,73,0.63,39,63,0.619,7,10,0.7,22,31,0.71,121,240,4,17,21,8,26,34
30,ORL,2006-01-06,41,46,20,@,NJN,L 106-113,240,20,11,4,21,31,31,11,6,15,21,240,41,85,0.482,36,75,0.48,5,10,0.5,19,25,0.76,106,37,79,0.468,31,63,0.492,6,16,0.375,33,37,0.892,113,240,17,29,46,11,25,36
31,ORL,2006-01-07,40,47,25,,CHA,W 108-92,240,25,7,6,20,28,15,12,3,13,30,240,40,71,0.563,38,64,0.594,2,7,0.286,26,34,0.765,108,31,83,0.373,25,67,0.373,6,16,0.375,24,35,0.686,92,240,9,38,47,13,20,33
32,ORL,2006-01-10,28,38,18,@,LAC,L 73-90,240,18,2,6,16,27,17,5,7,9,22,240,28,72,0.389,23,60,0.383,5,12,0.417,12,15,0.8,73,33,76,0.434,33,73,0.452,0,3,0,24,35,0.686,90,240,7,31,38,16,32,48
33,ORL,2006-01-11,36,41,22,@,SEA,L 104-113,240,22,5,3,16,28,23,6,4,13,31,240,36,69,0.522,32,58,0.552,4,11,0.364,28,41,0.683,104,36,69,0.522,25,50,0.5,11,19,0.579,30,37,0.811,113,240,14,27,41,10,21,31
34,ORL,2006-01-13,43,40,22,@,POR,L 108-113,240,22,6,5,9,18,23,5,6,7,20,240,43,85,0.506,38,73,0.521,5,12,0.417,17,21,0.81,108,42,78,0.538,32,63,0.508,10,15,0.667,19,22,0.864,113,240,16,24,40,6,24,30
35,ORL,2006-01-15,41,42,16,@,SAC,L 100-104,240,16,7,6,10,25,22,3,5,12,17,240,41,90,0.456,36,80,0.45,5,10,0.5,13,20,0.65,100,31,65,0.477,23,48,0.479,8,17,0.471,34,40,0.85,104,240,16,26,42,7,33,40
36,ORL,2006-01-18,36,41,23,,WAS,W 106-98,240,23,6,5,14,31,16,7,7,9,24,240,36,71,0.507,30,59,0.508,6,12,0.5,28,37,0.757,106,30,75,0.4,23,54,0.426,7,21,0.333,31,41,0.756,98,240,9,32,41,9,25,34
37,ORL,2006-01-20,35,48,24,@,CHA,W 104-93,240,24,7,8,15,27,17,9,3,12,23,240,35,72,0.486,26,54,0.481,9,18,0.5,25,33,0.758,104,34,86,0.395,28,65,0.431,6,21,0.286,19,35,0.543,93,240,11,37,48,14,26,40
38,ORL,2006-01-21,29,53,14,,SAC,W 83-78 (OT),265,14,7,4,14,16,17,6,2,17,28,265,29,86,0.337,29,74,0.392,0,12,0,25,31,0.806,83,32,87,0.368,27,61,0.443,5,26,0.192,9,11,0.818,78,265,14,39,53,12,37,49
39,ORL,2006-01-24,41,44,14,,PHO,W 111-102,240,14,3,5,11,17,27,8,1,9,23,240,41,75,0.547,36,65,0.554,5,10,0.5,24,33,0.727,111,41,89,0.461,31,64,0.484,10,25,0.4,10,18,0.556,102,240,11,33,44,15,29,44
40,ORL,2006-01-26,43,37,27,@,PHI,W 119-115 (OT),265,27,6,3,16,27,21,6,4,13,30,265,43,73,0.589,36,60,0.6,7,13,0.538,26,41,0.634,119,44,90,0.489,39,76,0.513,5,14,0.357,22,27,0.815,115,265,9,28,37,13,25,38
41,ORL,2006-01-27,31,39,15,@,NYK,L 94-97,240,15,4,1,22,32,12,15,3,13,27,240,31,72,0.431,23,53,0.434,8,19,0.421,24,29,0.828,94,32,76,0.421,30,64,0.469,2,12,0.167,31,44,0.705,97,240,12,27,39,16,27,43
42,ORL,2006-01-29,31,40,20,,PHI,L 81-89,240,20,3,4,17,24,21,11,6,10,18,240,31,72,0.431,28,59,0.475,3,13,0.231,16,21,0.762,81,31,68,0.456,30,59,0.508,1,9,0.111,26,38,0.684,89,240,14,26,40,11,26,37
43,ORL,2006-02-01,30,40,17,,LAC,L 94-106,240,17,4,5,10,21,14,7,5,11,30,240,30,78,0.385,28,67,0.418,2,11,0.182,32,37,0.865,94,41,77,0.532,37,70,0.529,4,7,0.571,20,29,0.69,106,240,10,30,40,4,34,38
44,ORL,2006-02-03,37,45,18,@,ATL,L 94-96,240,18,2,6,12,23,21,5,6,5,23,240,37,73,0.507,35,70,0.5,2,3,0.667,18,31,0.581,94,35,84,0.417,30,68,0.441,5,16,0.313,21,28,0.75,96,240,14,31,45,20,23,43
45,ORL,2006-02-04,38,43,20,,BOS,W 100-91,240,20,3,2,13,18,15,11,8,10,25,240,38,75,0.507,36,67,0.537,2,8,0.25,22,28,0.786,100,34,78,0.436,29,62,0.468,5,16,0.313,18,21,0.857,91,240,13,30,43,10,23,33
46,ORL,2006-02-06,32,38,21,@,WAS,L 82-94,240,21,0,3,18,22,12,13,4,6,15,240,32,68,0.471,29,58,0.5,3,10,0.3,15,21,0.714,82,33,79,0.418,29,68,0.426,4,11,0.364,24,29,0.828,94,240,7,31,38,11,29,40
47,ORL,2006-02-08,32,47,18,@,MIL,L 89-94 (2OT),290,18,6,4,21,28,21,9,7,18,24,290,32,90,0.356,25,73,0.342,7,17,0.412,18,26,0.692,89,35,88,0.398,30,73,0.411,5,15,0.333,19,26,0.731,94,290,11,36,47,13,39,52
48,ORL,2006-02-10,31,42,10,,DET,L 73-84,240,10,8,4,17,13,26,6,3,11,14,240,31,68,0.456,30,63,0.476,1,5,0.2,10,19,0.526,73,34,84,0.405,24,62,0.387,10,22,0.455,6,9,0.667,84,240,8,34,42,12,28,40
49,ORL,2006-02-12,35,37,16,@,BOS,L 94-102,240,16,5,3,16,24,21,8,1,10,22,240,35,70,0.5,33,58,0.569,2,12,0.167,22,26,0.846,94,33,66,0.5,23,52,0.442,10,14,0.714,26,31,0.839,102,240,9,28,37,5,19,24
50,ORL,2006-02-14,33,33,13,@,MIA,L 93-107,240,13,8,1,7,34,16,4,6,19,29,240,33,81,0.407,31,73,0.425,2,8,0.25,25,37,0.676,93,36,62,0.581,33,51,0.647,3,11,0.273,32,47,0.681,107,240,14,19,33,9,37,46
51,ORL,2006-02-15,30,39,21,,MIA,L 100-110,240,21,8,1,12,21,26,4,5,18,36,240,30,74,0.405,28,65,0.431,2,9,0.222,38,47,0.809,100,40,74,0.541,30,53,0.566,10,21,0.476,20,29,0.69,110,240,13,26,39,12,28,40
52,ORL,2006-02-21,35,34,22,@,CLE,L 92-105,240,22,4,1,12,26,25,4,5,7,21,240,35,70,0.5,32,64,0.5,3,6,0.5,19,25,0.76,92,40,77,0.519,34,61,0.557,6,16,0.375,19,28,0.679,105,240,10,24,34,11,27,38
53,ORL,2006-02-22,36,36,18,@,NJN,L 93-96,240,18,7,5,16,26,20,8,3,12,24,240,36,68,0.529,34,62,0.548,2,6,0.333,19,31,0.613,93,33,78,0.423,27,61,0.443,6,17,0.353,24,27,0.889,96,240,8,28,36,15,26,41
54,ORL,2006-02-24,42,45,21,,SEA,W 102-89,240,21,3,4,7,25,13,1,4,10,21,240,42,80,0.525,40,74,0.541,2,6,0.333,16,22,0.727,102,34,73,0.466,32,64,0.5,2,9,0.222,19,25,0.76,89,240,11,34,45,4,27,31
55,ORL,2006-02-26,28,40,14,,HOU,L 84-89,240,14,8,5,18,33,21,9,4,17,29,240,28,67,0.418,25,61,0.41,3,6,0.5,25,39,0.641,84,29,69,0.42,24,48,0.5,5,21,0.238,26,33,0.788,89,240,7,33,40,3,37,40
56,ORL,2006-02-28,29,29,14,@,LAL,L 87-102,240,14,5,4,16,19,31,9,2,10,27,240,29,55,0.527,27,50,0.54,2,5,0.4,27,38,0.711,87,41,80,0.513,36,65,0.554,5,15,0.333,15,19,0.789,102,240,4,25,29,12,26,38
57,ORL,2006-03-01,42,49,20,@,GSW,L 94-98,240,20,5,9,12,26,24,5,5,11,18,240,42,90,0.467,41,80,0.513,1,10,0.1,9,15,0.6,94,32,74,0.432,25,56,0.446,7,18,0.389,27,40,0.675,98,240,16,33,49,11,33,44
