Rk,Team,Date,FG,TRB,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,ORB,DRB,TRB,ORB,DRB,TRB
35,BRK,2014-01-08,34,41,13,,GSW,W 102-98,240,13,12,2,15,20,19,7,5,18,27,240,34,77,0.442,29,58,0.5,5,19,0.263,29,35,0.829,102,36,78,0.462,27,52,0.519,9,26,0.346,17,23,0.739,98,240,10,31,41,6,34,40
36,BRK,2014-01-10,40,49,21,,MIA,W 104-95 (2OT),290,21,7,4,13,22,19,5,2,14,24,290,40,86,0.465,33,66,0.5,7,20,0.35,17,21,0.81,104,34,80,0.425,28,57,0.491,6,23,0.261,21,27,0.778,95,290,13,36,49,11,28,39
37,BRK,2014-01-11,30,39,14,@,TOR,L 80-96,240,14,7,10,14,26,16,8,6,12,21,240,30,75,0.4,22,50,0.44,8,25,0.32,12,18,0.667,80,32,79,0.405,21,54,0.389,11,25,0.44,21,28,0.75,96,240,9,30,39,16,33,49
38,BRK,2014-01-16,53,40,38,@,ATL,W 127-110,240,38,7,4,17,21,26,10,7,15,12,240,53,91,0.582,37,64,0.578,16,27,0.593,5,7,0.714,127,40,81,0.494,32,56,0.571,8,25,0.32,22,22,1,110,240,12,28,40,7,21,28
39,BRK,2014-01-20,37,45,25,@,NYK,W 103-80,240,25,11,4,14,27,13,4,3,16,17,240,37,75,0.493,23,37,0.622,14,38,0.368,15,20,0.75,103,24,71,0.338,16,46,0.348,8,25,0.32,24,37,0.649,80,240,8,37,45,14,31,45
40,BRK,2014-01-21,40,36,29,,ORL,W 101-90,240,29,9,5,8,16,23,5,2,13,14,240,40,81,0.494,30,53,0.566,10,28,0.357,11,13,0.846,101,33,72,0.458,26,53,0.491,7,19,0.368,17,23,0.739,90,240,6,30,36,6,31,37
41,BRK,2014-01-24,37,35,24,,DAL,W 107-106,240,24,6,5,15,29,22,6,0,15,21,240,37,73,0.507,27,46,0.587,10,27,0.37,23,28,0.821,107,34,78,0.436,24,58,0.414,10,20,0.5,28,33,0.848,106,240,5,30,35,15,28,43
42,BRK,2014-01-26,33,42,20,@,BOS,W 85-79,240,20,9,3,11,20,17,6,5,15,21,240,33,84,0.393,27,59,0.458,6,25,0.24,13,18,0.722,85,28,75,0.373,21,49,0.429,7,26,0.269,16,19,0.842,79,240,10,32,42,12,33,45
43,BRK,2014-01-27,37,36,22,,TOR,L 103-104,240,22,10,4,17,20,21,8,3,18,18,240,37,77,0.481,26,53,0.491,11,24,0.458,18,22,0.818,103,37,79,0.468,28,57,0.491,9,22,0.409,21,26,0.808,104,240,5,31,36,10,33,43
44,BRK,2014-01-31,35,17,18,,OKC,L 95-120,240,18,13,3,13,21,28,9,7,16,19,240,35,74,0.473,24,50,0.48,11,24,0.458,14,17,0.824,95,49,77,0.636,44,62,0.71,5,15,0.333,17,20,0.85,120,240,3,14,17,10,31,41
